Discipline,Academic level,Self-evaluation,Human VS Zombie,Human VS 5 Zombies,Red Machine VS Zombie,Pain Machine VS Zombie,Pain Machine,Pleasure Machine VS Zombie,Kill VS Zombify (other),Kill VS Zombify (self),Meta-ethical stance,Ethical stance,Monism VS Pluralism,Explanatory stance
Philosophy,Doctorate,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Philosophy,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Doctorate,4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,Indifferent (the scientist will randomly choose.),Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Other,Bachelor's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Idealism
Philosophy,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Cognitive psychology,Bachelor's degree,2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Cognitive psychology,Undergraduate (you have been or are in training but you have no diploma),2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Virtue ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
Philosophy,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Switch off their life support.,Switch off your life support.,Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Other
Other,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Unsure/none,Unsure/none,Unsure/none.
None,Undergraduate (you have been or are in training but you have no diploma),2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Indifferent (the scientist chooses one randomly.),Unsure/none,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
